specialty,product-cat,caption,vendor,order_date,expiry_date,quantity,unit_cost,total_cost,shelf_life_days,days_to_expiry,product_order_count,avg_reorder_gap_days,risk_score,risk_tier
Linen,Hospital Uniform,IndoSurgicals Scrub Suits for Women Doctors Poly Cotton (Faux Wrap Neck),Romsons,2024-02-25,2028-02-25,13,74.9,973.7,1461,576,5,171.2,22.2,Low
Ortho Instruments,Forceps,Patella Bone Holding Forceps,Santosh Surgical Instruments,2023-06-08,2027-06-08,4,142.8,571.2,1461,314,3,99.66666666666667,22.2,Low
Surgery,Instrument Kit,Laparotomy Instruments Kit (Pediatric),Apollo Hospitals Enterprise Limited,2024-08-07,2028-08-07,45,879.9,39595.5,1461,740,15,71.13333333333334,22.2,Low
Surgery,Forceps,Collin Tongue Holding Forceps,Wockhardt Limited,2022-11-25,2026-11-25,13,77.9,1012.7,1461,119,19,47.473684210526315,22.2,Low
Surgery,Forceps,Kocherâ€™s Forceps Curved,CDR MEDICAL INDUSTRIES,2023-04-04,2027-04-04,11,34.5,379.5,1461,249,11,82.81818181818181,22.2,Low
Surgery,Scissors,Spencer (Littauer) Stitch Scissors,Reckitt Benckiser,2023-11-03,2027-11-03,31,29.9,926.9,1461,462,19,55.421052631578945,22.2,Low
Anesthesia Equipment,Emergency FIRST AID Kit,Emergency Resuscitation Kit,Apollo Hospitals Enterprise Limited,2023-12-13,2026-12-13,4,6825.28,27301.12,1096,137,15,64.53333333333333,22.2,Low
Anesthesia Equipment,Laryngoscope,Fiber Optic LED Laryngoscope Set Macintosh,Ambu,2025-01-19,2028-01-19,37,672.0,24864.0,1095,539,22,47.18181818181818,22.2,Low
ENT Instruments,Laryngoscope,IndoSurgicals Disposable Macintosh Type Fiber Optic Laryngoscope (Pack of 1 Blade & 1 Handle),Ben Franklin Opticians,2022-11-04,2026-11-04,24,70.0,1680.0,1461,98,29,36.0,22.2,Low
Ortho Instruments,Shears,Bohler Plaster Shears,Bauch & Lomb,2025-02-10,2029-02-10,47,159.9,7515.3,1461,927,7,138.57142857142858,22.2,Low
Lab Equipment,Hot Air Sterilizers,"Hot Air Sterilizer, Double Wall , Universal Type, Upto 250ÂºC 43 Ltrs SS Chambers",Vishal Surgitech,2024-02-28,2028-02-28,34,2391.536,81312.224,1461,579,5,122.0,22.2,Low
General,Stethoscope,IndoSurgicals Dulcet Black Stethoscope,Poly Medicure,2023-10-08,2026-10-08,9,21.9,197.1,1096,71,27,40.48148148148148,22.2,Low
Anesthesia Equipment,Rebreathing Bags,"Rebreathing Bags - Green Rubber, 0.5 Litre",Intersurgical,2023-11-11,2026-11-11,11,16.8,184.8,1096,105,19,52.526315789473685,22.2,Low
Other Instruments,Doppler,Pocket Fetal Doppler,Shilpa Medicare Limited,2024-04-05,2028-04-05,41,184.9,7580.9,1461,616,3,55.333333333333336,22.2,Low
Ortho Instruments,Osteotome,Orthopedic Osteotome (Curved) Stainless Steel,HI-TECH LAB PRODUCTS,2023-11-28,2027-11-28,11,61.6,677.6,1461,487,6,147.33333333333334,22.2,Low
Lab Equipment,Laboratory Water Bath,Serological Water Bath Thermostatic Controlled With Stirrer & PID Based Digital Controller cum Indicator 13 Ltrs.,Tynor Orthotics,2023-05-17,2027-05-17,15,3315.088,49726.32,1461,292,10,94.4,22.2,Low
Lab Plasticware,Racks & Stands,Test Tube Stand (3-Tier) P.P,Santosh Surgical Instruments,2024-06-17,2028-06-17,34,64.31,2186.54,1461,689,7,141.57142857142858,22.2,Low
Ortho Instruments,Reamer,Cannulated Reamer (T-Type),Braun Medical India,2024-06-09,2028-06-09,35,125.0,4375.0,1461,681,4,117.0,22.2,Low
Linen,Hospital Uniform,Premium Nurses Dress,Thyrocare Technologies Limited,2023-08-01,2027-08-01,32,99.9,3196.8,1461,368,10,75.8,22.2,Low
Surgery,Forceps,"GREY Gall Duct Forceps (Toothed) 10""",HI-TECH LAB PRODUCTS,2023-04-15,2027-04-15,22,76.9,1691.8,1461,260,11,85.72727272727273,22.2,Low
General,Cylinder,Flow Meter with Humidifier Bottle,Dolphin Surgical,2023-08-25,2026-08-25,3,169.9,509.7,1096,27,43,24.41860465116279,22.2,Low
Hollowware,Bed Pan & Urinal,Bed Pan with Lid - Stainless Steel,AJMERA BIO-MEDICAL ENGINEERS,2024-03-02,2028-03-02,20,59.808,1196.16,1461,582,3,173.33333333333334,22.2,Low
Rubber Products,Chloroform Bellow,"Chloroform Sigmoidoscopes Bellow, 500ml",GPC Medical,2024-10-10,2028-10-10,37,64.782,2396.934,1461,804,7,106.71428571428571,22.2,Low
Surgery,Forceps,"Tonsil Artery Forceps (Curved) 8""",M/S IMADE TECHNOLOGY PRIVATE LIMITED,2023-02-03,2027-02-03,25,64.9,1622.5,1461,189,13,65.84615384615384,22.2,Low
Surgery,Scissors,Metzenbaum Scissors (Curved),Karl Storz,2023-01-07,2027-01-07,12,37.9,454.8,1461,162,16,59.1875,22.2,Low
Surgery,Forceps,"Tonsil Artery Forceps (Straight) 8""",Sree Balaji Surgicals,2023-09-30,2027-09-30,34,64.9,2206.6,1461,428,11,86.81818181818181,22.2,Low
Surgery,Forceps,Backhaus Towel Forceps,HI-TECH LAB PRODUCTS,2023-02-05,2027-02-05,18,40.9,736.2,1461,191,16,67.0,22.2,Low
Anesthesia Equipment,Laryngoscope,Fiber Optic LED Laryngoscope Set Macintosh,Terumo,2023-10-26,2026-10-26,4,672.0,2688.0,1096,89,22,47.18181818181818,22.2,Low
Anesthesia Equipment,Emergency FIRST AID Kit,Resuscitation Kit,AJMERA BIO-MEDICAL ENGINEERS,2023-09-13,2026-09-13,7,499.9,3499.3,1096,46,32,31.96875,22.2,Low
Lab Equipment,Laboratory Incubators,Laboratory Incubator Universal Type 216 Ltrs Alumiium Chambers,3M India,2023-05-10,2027-05-10,27,4978.624,134422.848,1461,285,7,92.42857142857143,22.2,Low
Dinsinfectant & Cleaning,Fumigator,Aerosol Disinfector Fumigator (5 Liters) Stainless Steel,HI-TECH LAB PRODUCTS,2023-05-22,2027-05-22,19,719.8,13676.2,1461,297,9,95.22222222222223,22.2,Low
Lab Plasticware,Conical Measures,Conical Measures,Romsons Group Of Industries,2024-03-08,2028-03-08,9,35.99,323.91,1461,588,5,175.0,22.2,Low
Anesthesia Equipment,Laryngoscope,Fiber Optic LED Laryngoscope Set Macintosh,Ambu,2023-10-28,2026-10-28,12,672.0,8064.0,1096,91,22,47.18181818181818,22.2,Low
Opthalmology Instruments,Forceps,Eye Dressing Forceps,Bauch & Lomb,2023-04-07,2027-04-07,5,38.9,194.5,1461,252,2,83.0,22.2,Low
Lab Equipment,Laboratory Water Bath,Hemispherical Copper Water Bath,Romsons,2023-07-23,2027-07-23,5,52.416,262.08,1461,359,9,112.66666666666667,22.2,Low
Opthalmology Instruments,Caliper,Castroviejo Caliper (Straight),Romsons,2024-07-18,2028-07-18,23,119.9,2757.7,1461,720,6,131.16666666666666,22.2,Low
Surgery,Forceps,Allis Tissue Forceps Straight,HI-TECH LAB PRODUCTS,2022-11-30,2026-11-30,24,36.9,885.6,1461,124,21,48.23809523809524,22.2,Low
OPT Equipments,Electrosurgical Unit,Electrosurgical Unit (Diathermy Machine) 250 XL+,B. Braun,2025-02-23,2029-02-23,34,3248.0,110432.0,1461,940,4,246.5,22.2,Low
Spine Surgery,Forceps,Disc Punch Forceps (Serrated) Straight,Abbott,2023-10-27,2027-10-27,16,349.9,5598.4,1461,455,7,137.85714285714286,22.2,Low
Linen,Lab Coat,"Unisex Lab Coat (Length 30"")",Cook India,2024-10-05,2028-10-05,40,49.9,1996.0,1461,799,7,124.57142857142857,22.2,Low
Laparoscopic Instrument,Needle Holder,Storz Type Needle Holder,Narang,2023-07-21,2027-07-21,32,499.9,15996.8,1461,357,9,112.22222222222223,22.2,Low
Surgery,Instrument Kit,Advanced Lab Dissection Kit for Biology Anatomy Medical Students,HI-TECH LAB PRODUCTS,2022-11-16,2026-11-16,6,84.9,509.4,1461,110,22,44.09090909090909,22.2,Low
Surgery,Forceps,Bonney Tissue Forceps,ACCURATE MACHINES,2025-02-08,2029-02-08,47,26.9,1264.3,1461,925,18,59.833333333333336,22.2,Low
Surgery,Instrument Kit,Laparotomy Instruments Kit (Pediatric),Sree Balaji Surgicals,2023-02-20,2027-02-20,27,879.9,23757.3,1461,206,15,71.13333333333334,22.2,Low
Anesthesia Equipment,Air Cushion Face Masks,Anaesthesia Face Mask Transparent aircushion with valve,3M India,2025-02-20,2028-02-20,45,25.2,1134.0,1095,571,23,44.56521739130435,22.2,Low
Cardiothoracic Instrument,Retractor,Finochietto Retractor,HI-TECH LAB PRODUCTS,2023-01-21,2027-01-21,4,578.9,2315.6,1461,176,17,62.05882352941177,22.2,Low
Surgery,Retractor,Langenbeck Retractor,Lotus Surgicals,2023-01-06,2027-01-06,11,22.4,246.4,1461,161,16,58.8125,22.2,Low
Misc Products,Brush,Surgeons Nail Brush,Ben Franklin Opticians,2025-01-11,2029-01-11,43,7.616,327.488,1461,897,4,205.5,22.2,Low
Other Instruments,Mask,Anesthesia Face Mask,Boston Scientific,2023-01-11,2027-01-11,1,22.4,22.4,1461,166,15,60.46666666666667,22.2,Low
Radiology Aid,Thyroid Collar/Shield,"X-Ray Thyroid Collar, Lead Equivalency 0.50mm (BARC Approved)",Baxter,2023-08-07,2027-08-07,14,79.9,1118.6,1461,374,8,116.75,22.2,Low
Anesthesia Equipment,Mouth Opener,Emergency Mouth Opener,Olympus,2023-12-04,2026-12-04,3,16.8,50.4,1096,128,18,60.388888888888886,22.1,Low
General,Cylinder,Oxygen Cylinder 5.0 Ltrs.,Girish Surgical Works,2024-05-20,2027-05-20,34,778.8,26479.2,1095,295,41,23.024390243902438,22.1,Low
Anesthesia Equipment,Laryngoscope,LED Laryngoscope Set Miller (Deluxe Quality),Sree Balaji Surgicals,2024-05-23,2027-05-23,35,240.24,8408.4,1095,298,31,34.45161290322581,22.1,Low
Radiology Aid,Lead Goggles,X Ray Lead Goggles,Ben Franklin Opticians,2024-04-22,2028-04-22,28,329.952,9238.656,1461,633,8,124.75,22.1,Low
Lab Plasticware,Pipette Accessories,Pipette Stand (94 Pipettes-Rotary),Johnson & Johnson,2023-04-07,2027-04-07,21,54.398,1142.358,1461,252,4,82.25,22.1,Low
Surgery,Forceps,Tracheal Dilating Forceps (Bowlby Dilator),Stryker,2024-01-13,2028-01-13,40,81.5,3260.0,1461,533,15,52.8,22.1,Low
Surgery,Retractor,US Army Retractor (Set of 2),Inor Medical Products Ltd,2023-09-30,2027-09-30,28,42.5,1190.0,1461,428,9,109.77777777777777,22.1,Low
Anesthesia Equipment,Oxygen Mask,Oxygen Mask for Adults,HI-TECH LAB PRODUCTS,2023-11-05,2026-11-05,15,19.9,298.5,1096,99,18,50.0,22.1,Low
Lab Equipment,Laboratory Hot Plates,Laboratory Rectangular Heating Plate with Cast Iron Top 2kw with Digital Controller PID Based,Sree Balaji Surgicals,2025-01-11,2029-01-11,29,2587.536,75038.544,1461,897,6,150.16666666666666,22.1,Low
Surgery,Instrument Kit,Midwifery Instruments Kit,Dolphin Surgical,2023-03-14,2027-03-14,15,199.9,2998.5,1461,228,11,76.0,22.1,Low
Anesthesia Equipment,Laryngoscope,IndoSurgicals Disposable Macintosh Type Fiber Optic Laryngoscope (Pack of 1 Blade & 1 Handle),Sree Balaji Surgicals,2023-09-29,2026-09-29,11,70.0,770.0,1096,62,29,36.0,22.1,Low
Surgery,Retractor,Jolls Retractor,Braun Medical India,2023-02-15,2027-02-15,21,332.9,6990.9,1461,201,15,67.86666666666666,22.1,Low
Sterilizers,Formalin Chamber,Formalin Chamber (Two Trays),Ben Franklin Opticians,2024-03-03,2027-03-03,8,377.6,3020.8,1095,217,9,92.44444444444444,22.1,Low
Surgery,Suction Units Portable,Suction Unit - ABS (20 Ltrs./Min),M/S IMADE TECHNOLOGY PRIVATE LIMITED,2022-11-09,2026-11-09,22,896.0,19712.0,1461,103,24,41.125,22.1,Low
Neurology Instruments,Punch,Bayonet Kerrison Punch Upward Cutting,HI-TECH LAB PRODUCTS,2023-05-12,2027-05-12,31,809.9,25106.9,1461,287,9,60.888888888888886,22.1,Low
Sterilizers,Autoclave Accessories,Autoclave Power Cable,3M India,2024-09-25,2027-09-25,34,54.9,1866.6,1095,423,12,80.66666666666667,22.1,Low
Surgery,Retractor,Langenbeck Retractor,Terumo,2024-08-28,2028-08-28,47,22.4,1052.8,1461,761,16,58.8125,22.1,Low
OPT Equipments,Electrosurgical Unit,Electrosurgical Unit (Diathermy Machine) 400 MATRIX+,ACCURATE MACHINES,2023-11-19,2027-11-19,3,9240.0,27720.0,1461,478,6,143.5,22.1,Low
Surgery,Scissors,Episiotomy Scissors,Romsons Group Of Industries,2023-01-03,2027-01-03,25,45.9,1147.5,1461,158,25,40.24,22.1,Low
Surgery,Retractor,Gelpi Retractor,Lotus Surgicals,2024-07-31,2028-07-31,40,218.9,8756.0,1461,733,14,68.85714285714286,22.1,Low
Anesthesia Equipment,Laryngoscope,Fiber Optic LED Laryngoscope Set Macintosh,Dr. Lal PathLabs Limited,2025-02-27,2028-02-27,38,672.0,25536.0,1095,578,22,47.18181818181818,22.1,Low
Surgery,Forceps,Adson Tissue Forceps Toothed,Palakkad Surgical,2023-02-28,2027-02-28,26,19.9,517.4,1461,214,18,55.77777777777778,22.1,Low
OPT Equipments,Electrosurgical Unit,Electrosurgical Unit (Diathermy Machine) 250 MDD+,Shilpa Medicare Limited,2023-01-01,2027-01-01,9,3528.0,31752.0,1461,156,5,55.8,22.1,Low
Lab Equipment,Small Centrifuge,"Small Centrifuge Without Timer, 4 x 15ml",Abbott,2024-05-10,2028-05-10,31,896.8,27800.8,1461,651,7,100.57142857142857,22.1,Low
Surgery,Scissors,"Tungsten Carbide (TC), Mayo Scissor, Straight",Rama Surgical House,2023-08-29,2027-08-29,30,199.9,5997.0,1461,396,15,59.266666666666666,22.1,Low
Surgery,Forceps,Sinus Forceps,Fortis Healthcare Limited,2023-03-19,2027-03-19,17,36.0,612.0,1461,233,13,77.3076923076923,22.1,Low
Misc Products,Cutter,IndoSurgicalsÂ® Manual Needle & Hub Cutter,Terumo,2023-04-11,2027-04-11,17,68.204,1159.468,1461,256,7,83.14285714285714,22.1,Low
Laparoscopic Instrument,Reducer,Reducer 5mm,3M India,2024-09-04,2028-09-04,44,56.9,2503.6,1461,768,4,165.25,22.1,Low
Anesthesia Equipment,Artificial Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Adult,SISCO ,2023-09-03,2026-09-03,12,89.9,1078.8,1096,36,37,27.135135135135137,22.1,Low
Ortho Aid,Abdominal Splint,Hernia Belt (Double Pad),Hindustan Syringes,2023-08-12,2027-08-12,20,43.05,861.0,1461,379,8,116.375,22.1,Low
Sterilizers,Non-Electric Autoclave,"Autoclave (21 litres) Non-Electric, Pressure Cooker Type, Mirror Finish",Palakkad Surgical,2023-12-13,2026-12-13,9,649.9,5849.1,1096,137,10,63.2,22.1,Low
Anesthesia Equipment,Oxygen Cylinder & Regulators,Oxygen Regulator with Pressure Gauge,Johnson & Johnson,2023-08-31,2026-08-31,24,84.9,2037.6,1096,33,44,23.886363636363637,22.0,Low
Sterilizers,Ultraviolet Chamber,"UV Cabinet, 15 Trays",Fresenius,2023-12-08,2026-12-08,4,999.9,3999.6,1096,132,17,60.05882352941177,22.0,Low
Radiology,Contrast,Iodine contrast,Inor Medical Products Ltd,2023-06-29,2027-06-29,6,256.7,1540.2,1461,335,10,103.2,22.0,Low
Surgery,Forceps,Green Armytage Forceps,Fresenius,2022-12-13,2026-12-13,30,50.9,1527.0,1461,137,22,48.68181818181818,22.0,Low
Misc Products,Brush,Twisted-Wire Surgical Instrument Cleaning Brushes,AJMERA BIO-MEDICAL ENGINEERS,2024-07-15,2028-07-15,18,3.5,63.0,1461,717,4,207.25,22.0,Low
Lab Equipment,Laboratory Microscope,Binocular Microscope,CDR MEDICAL INDUSTRIES,2023-05-22,2027-05-22,27,4041.296,109114.992,1461,297,8,93.0,22.0,Low
OPT Equipments,Electrosurgical Unit,Electrosurgical Unit (Diathermy Machine) 400 DEXTER,Santosh Surgical Instruments,2024-01-10,2028-01-10,1,15164.8,15164.8,1461,530,5,155.8,22.0,Low
Lab Plasticware,Micropipettes and Tips,Micropipette Fixed Volume,Bard,2023-06-07,2027-06-07,19,71.39,1356.41,1461,313,9,97.11111111111111,22.0,Low
Surgery,Forceps,Crile Artery Forceps (Straight),Karl Storz,2024-06-05,2028-06-05,42,35.9,1507.8,1461,677,26,40.88461538461539,22.0,Low
Linen,Disposable Shoe & Boot Covers,Disposable Shoe cover Non Woven (Pack of 50 Pairs),Dr. Lal PathLabs Limited,2023-11-11,2027-11-11,4,53.13,212.52,1461,470,7,140.0,22.0,Low
Anesthesia Equipment,Emergency FIRST AID Kit,Resuscitation Kit,ACCURATE MACHINES,2023-09-22,2026-09-22,22,499.9,10997.8,1096,55,32,31.96875,22.0,Low
Surgery,Retractor,Doyen Mouth Gag,Baxter,2023-10-03,2027-10-03,31,98.5,3053.5,1461,431,9,90.88888888888889,22.0,Low
Surgery,Forceps,Crile Artery Forceps (Straight),Cook India,2024-10-21,2028-10-21,46,35.9,1651.4,1461,815,26,40.88461538461539,22.0,Low
Surgery,Forceps,Littlewood Tissue Forceps,Intersurgical,2023-05-21,2027-05-21,19,47.9,910.1,1461,296,11,93.27272727272727,22.0,Low
Laparoscopic Instrument,Clip Applicator,Hem-O-Lock,Apollo Hospitals Enterprise Limited,2024-06-17,2028-06-17,7,759.9,5319.3,1461,689,5,200.0,22.0,Low
Linen,Disposable Gloves,"Surgical Gloves Latex, Sterile (Pack of 50 Pairs)",Tynor Orthotics,2023-10-22,2027-10-22,29,89.376,2591.904,1461,450,5,135.0,22.0,Low
Radiology Aid,Thyroid Collar/Shield,NoPbÂ® Thyroid Collar Hat Style (Lead Free) BARC Approved,KLS Martin India,2025-03-17,2029-03-17,37,341.6,12639.2,1461,962,6,159.16666666666666,22.0,Low
Surgery,Scissors,Metzenbaum Scissors (Straight),Vishal Surgitech,2023-04-22,2027-04-22,22,37.9,833.8,1461,267,9,85.0,22.0,Low
Anesthesia Equipment,Emergency FIRST AID Kit,Resuscitation Kit,Ambu,2023-09-20,2026-09-20,18,499.9,8998.2,1096,53,32,31.96875,22.0,Low
Lab Equipment,Laboratory Hot Plates,Laboratory Round Heating Plate with Regulator Plate,SISCO ,2024-10-29,2028-10-29,41,516.88,21192.08,1461,823,8,111.875,22.0,Low
Surgery,Retractor,Czerny Retractor,Abbott,2025-02-21,2029-02-21,44,37.9,1667.6,1461,938,16,62.8125,22.0,Low
Other Instruments,Mask,Pocket CPR Mask,Gesco Healthcare,2024-02-25,2028-02-25,40,31.5,1260.0,1461,576,36,29.194444444444443,22.0,Low
Surgery,Retractor,Tracheal Hook/Retractor Sharp One Prong,Sree Balaji Surgicals,2023-03-08,2027-03-08,2,20.0,40.0,1461,222,15,72.6,22.0,Low
ENT Instruments,Laryngoscope,IndoSurgicals Disposable Miller Type Fiber Optic Laryngoscope (Pack of 1 Blade & 1 Handle),SISCO ,2023-08-18,2027-08-18,30,70.0,2100.0,1461,385,23,44.69565217391305,22.0,Low
Surgery,Scalpel,BP Scalpel Handle No. 3 & 4,Siemens Healthineers,2024-01-09,2028-01-09,35,8.9,311.5,1461,529,19,52.578947368421055,22.0,Low
Cardiothoracic Instrument,Retractor,IMA Retractor,Karl Storz,2022-11-11,2026-11-11,24,1589.9,38157.6,1461,105,20,41.3,22.0,Low
Surgery,Retractor,Volkmann Retractor (Sharp),Boston Scientific,2023-01-22,2027-01-22,23,35.0,805.0,1461,177,17,59.88235294117647,22.0,Low
Hollowware,Deluxe Quality,"Dressing Drum 9"" x 5"" (Deluxe Quality)",M/S IMADE TECHNOLOGY PRIVATE LIMITED,2024-09-01,2028-09-01,2,99.9,199.8,1461,765,4,220.5,22.0,Low
Anesthesia Equipment,Mouth Opener,Emergency Mouth Opener,Romsons Group Of Industries,2025-03-30,2028-03-30,37,16.8,621.6,1096,610,18,60.388888888888886,22.0,Low
Misc Products,Tourniquet,Pneumatic Tourniquet System,Stryker,2024-06-01,2028-06-01,35,235.2,8232.0,1461,673,8,103.0,21.9,Low
General,Stethoscope,IndoSurgicals Silvery III Stethoscope,Wockhardt Limited,2025-01-07,2028-01-07,44,159.9,7035.6,1095,527,21,51.19047619047619,21.9,Low
Surgery,Forceps,Artery Forceps (Curved),Olympus,2024-05-20,2028-05-20,41,33.9,1389.9,1461,661,17,53.05882352941177,21.9,Low
General,Stethoscope,IndoSurgicals Silvery III Stethoscope,Ben Franklin Opticians,2024-07-15,2027-07-15,38,159.9,6076.2,1095,351,21,51.19047619047619,21.9,Low
OB/GYN Instruments,OB/GYN,Uterine Sound,Braun Medical India,2025-01-22,2029-01-22,47,16.9,794.3,1461,908,4,100.75,21.9,Low
Lab Equipment,Hot Air Sterilizers,"Hot Air Sterilizer, Double Wall, Universal Type, Upto 250ÂºC 216 Ltrs Aluminium Chambers",GE Healthcare,2024-04-29,2028-04-29,33,4240.096,139923.168,1461,640,10,81.5,21.9,Low
Surgery,Forceps,Crile Artery Forceps (Straight),Bard,2023-04-28,2027-04-28,30,35.9,1077.0,1461,273,26,40.88461538461539,21.9,Low
Hollowware,Deluxe Quality,"Dressing Drum 6"" x 6"" (Deluxe Quality)",Santosh Surgical Instruments,2023-08-21,2027-08-21,20,64.9,1298.0,1461,388,9,116.55555555555556,21.9,Low
Surgery,Retractor,Ferguson Mouth Gag,GE Healthcare,2022-12-20,2026-12-20,5,98.5,492.5,1461,144,19,49.73684210526316,21.9,Low
Surgery,Scissors,Tungsten Carbide (TC) IRIS Scissors 110mm,Thyrocare Technologies Limited,2023-10-09,2027-10-09,30,123.2,3696.0,1461,437,10,79.3,21.9,Low
Anesthesia Equipment,Artificial Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Child,Cook India,2023-08-27,2026-08-27,20,79.9,1598.0,1096,29,48,21.979166666666668,21.9,Low
Sterilizers,Instrument Sterilizer,"Instrument Sterilizer Electric SS 304 Grade (Size 12"" x 6"" x 5"")",CDR MEDICAL INDUSTRIES,2024-02-27,2027-02-27,13,679.9,8838.7,1096,213,10,88.7,21.9,Low
Surgery,Suction Units Manual,Foot Suction Unit - MS Base,3M India,2024-10-25,2028-10-25,47,677.6,31847.2,1461,819,20,47.15,21.9,Low
Surgery,Instrument Kit,Laparotomy Instruments Kit (Pediatric),Inor Medical Products Ltd,2023-03-08,2027-03-08,27,879.9,23757.3,1461,222,15,71.13333333333334,21.9,Low
Surgery,Instrument Kit,Suture Kit,Johnson & Johnson,2022-10-26,2026-10-26,25,70.0,1750.0,1461,89,29,34.93103448275862,21.9,Low
Surgery,Retractor,Davis Boyle Mouth Gag with 5 Blade,Bard,2022-12-17,2026-12-17,3,272.9,818.7,1461,141,16,49.1875,21.9,Low
Lab Equipment,Laboratory Hot Plates,Laboratory Rectangular Heating Plate with Cast Iron Top 1.5kw with Energy Regulator,Shilpa Medicare Limited,2023-07-14,2027-07-14,16,1115.296,17844.736,1461,350,7,106.71428571428571,21.9,Low
Hollowware,Deluxe Quality,"Dressing Drum 6"" x 6"" (Deluxe Quality)",Vishal Surgitech,2025-02-20,2029-02-20,35,64.9,2271.5,1461,937,9,116.55555555555556,21.9,Low
Ortho Aid,Knee Calf & Ankle Splints,Compression Stocking Mid Thigh,Hindustan Surgical,2023-12-15,2027-12-15,26,56.175,1460.55,1461,504,7,96.42857142857143,21.9,Low
Anesthesia Equipment,Laryngoscope,LED Laryngoscope Set Miller (1 Year Warranty),Reckitt Benckiser,2024-03-21,2027-03-21,27,207.2,5594.4,1095,235,24,43.416666666666664,21.9,Low
Opthalmology Instruments,Speculum,Castroviejo Eye Speculum,Girish Surgical Works,2025-03-12,2029-03-12,24,89.9,2157.6,1461,957,4,221.75,21.9,Low
General,Height & Weight Scales,"Digital Baby Weighing Scales, Capacity 20 Kg.",Vishal Surgitech,2023-10-27,2026-10-27,7,519.2,3634.4,1096,90,19,43.473684210526315,21.9,Low
Sterilizers,Ultraviolet Chamber,"UV Cabinet, 12 Trays",3M India,2024-03-29,2027-03-29,26,849.9,22097.4,1095,243,7,99.0,21.9,Low
General,Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Child,KLS Martin India,2024-10-06,2027-10-06,40,79.9,3196.0,1095,434,48,21.979166666666668,21.9,Low
Surgery,Forceps,Bonney Tissue Forceps,Inor Medical Products Ltd,2023-01-24,2027-01-24,11,26.9,295.9,1461,179,18,59.833333333333336,21.9,Low
Sterilizers,Non-Electric Autoclave,"Autoclave (40 litres) Non-Electric, Pressure Cooker Type, Mirror Finish",ACCURATE MACHINES,2023-10-02,2026-10-02,4,1279.9,5119.6,1096,65,11,34.54545454545455,21.9,Low
Anesthesia Equipment,Rebreathing Bags,"Rebreathing Bags - Green Rubber, 1 Litre",Ambu,2023-11-01,2026-11-01,7,16.8,117.6,1096,95,23,45.391304347826086,21.9,Low
Surgery,Forceps,Ball Socket Towel Clamp,Narang,2025-03-23,2029-03-23,47,55.9,2627.3,1461,968,10,100.6,21.9,Low
General,Cylinder,Oxygen Cylinder 2.0 Ltrs.,Opto Circuits India Limited,2023-08-31,2026-08-31,17,649.0,11033.0,1096,33,44,22.704545454545453,21.9,Low
Surgery,Forceps,Kocherâ€™s Forceps Straight,Ben Franklin Opticians,2023-01-30,2027-01-30,19,31.9,606.1,1461,185,16,61.5,21.9,Low
Surgery,Forceps,Dandy Artery Forceps,Integra,2023-03-30,2027-03-30,6,43.9,263.4,1461,244,13,77.0,21.9,Low
Surgery,Retractor,Kilner (Cat Paw) Retractor,Abbott,2023-02-03,2027-02-03,18,22.4,403.2,1461,189,17,61.88235294117647,21.9,Low
Linen,Hospital Uniform,Female Scrub Jacket Set (Snap Closure) Full Sleeve with Knit Cuffs,Fortis Healthcare Limited,2023-03-29,2027-03-29,7,109.9,769.3,1461,243,4,77.0,21.9,Low
General,Cylinder,Portable Oxygen Cylinder 6 liters,Integra,2023-08-23,2026-08-23,9,80.08,720.72,1096,25,48,20.666666666666668,21.9,Low
General,Stethoscope,IndoSurgicals Silvery Stethoscope (Free Engraving),Reckitt Benckiser,2024-03-21,2027-03-21,32,74.9,2396.8,1095,235,26,38.57692307692308,21.9,Low
Surgery,Scalpel,B.P. Handle (Scalpel Handle) No. 7,Lotus Surgicals,2022-11-23,2026-11-23,21,16.8,352.8,1461,117,24,43.375,21.9,Low
Anesthesia Equipment,Oxygen Cylinder & Regulators,Oxygen Cylinder 46.7 Ltrs.,Braun Medical India,2024-06-15,2027-06-15,37,1661.44,61473.28,1095,321,44,23.818181818181817,21.9,Low
Radiology Aid,Lead Aprons,Lead Apron (Wrap Around) Lead Equivalency 0.35mm,KLS Martin India,2024-02-13,2028-02-13,8,829.9,6639.2,1461,564,4,163.75,21.9,Low
Neurology Instruments,Clip Applicator,"Raney Clip Applicator 6""",Hindustan Surgical,2023-09-01,2027-09-01,16,249.9,3998.4,1461,399,6,119.83333333333333,21.9,Low
Lab Plasticware,Test Tubes,15ml Centrifuge Tubes Conical Bottom (Pack of 25 Pcs.),3M India,2023-04-24,2027-04-24,9,54.516,490.644,1461,269,8,83.875,21.9,Low
Furniture,Hospital Ward Furniture,Revolving Patient Stool (SS Top),Abbott,2025-03-04,2029-03-04,37,236.0,8732.0,1461,949,6,156.66666666666666,21.9,Low
Anesthesia Equipment,Laryngoscope,IndoSurgicals Fiber Optic Anterior Commissure Laryngoscope Rigid,Lotus Surgicals,2024-08-23,2027-08-23,38,299.9,11396.2,1095,390,25,38.48,21.8,Low
