specialty,product-cat,caption,price,description,weight,vendor,order_date,expiry_date,quantity,unit_cost,total_cost
Rubber Products,Breast Pump,"Rubber Bulbs for Breast Pump Superior, 25ml (Pack of 15 Pcs.)",1617.78,"Item Code              Size                   35007              Breast pump, complete (glass barrel..",0.000497512,Shilpa Medicare Limited,10/7/2023,10/7/2027,21,161.778,3397.338
General,Stethoscope,DulcetÂ® II-BR Pediatric/Neonatal Stethoscope,599,Product Details:Soft and comfortable ear tipsAnatomically angled binaural tubeMetal Chrome Plated Ch..,0.00199005,Hindustan Surgical,29/11/2024,29/11/2027,47,59.9,2815.3
Furniture,Hospital Trolleys,Mayo's Trolley,6047.5,Overall Size 76L x 46W x 81H cmsÂ Stainless Steel Tray Size approx. 56L x 40W cmsÂ Frame mad..,0.000497512,Arena Medical Care,13/07/2024,13/07/2028,34,604.75,20561.5
Ortho Aid,Walking Sticks,Adjustable Walking Stick (HEAVY DUTY),329.7,Made of light weight and sturdy Mild Steel.Simple push button allows height adjustment from approx. ..,0.000497512,GE Healthcare,24/10/2023,24/10/2027,22,32.97,725.34
Surgery,Instrument Kit,ENT Instrument Kit,3360,You can also buy this product from our Amazon store.Buy Now    ENT Instrument Kit Contains..,0.001492537,3M India,21/07/2022,21/07/2026,14,336,4704
Radiology,Catheter,Angiographic catheter,7000,Super Radiopaque Tungsten material for easy tip visualization under fluoroscopy,0.000497512,Rama Surgical House,13/09/2023,13/09/2027,36,700,25200
Ortho Instruments,Cutter,Bone Cutter (Double Action) - Straight,1680,Item CodeSize36280190 mm36281225 mm36282270 mm..,0.000497512,Wockhardt Limited,20/11/2024,20/11/2028,34,168,5712
Ortho Instruments,Hammer,Orthopedic SS Bone Hammer with Fiber Handle,756,Item CodeType36358400 gm36359500 gm36360600 gm36361800 gm..,0.000497512,Intersurgical,16/11/2023,16/11/2027,27,75.6,2041.2
Surgery,Scissors,Dressing Scissors (Curved) Blunt/Sharp,349,"Stainless SteelReusablePremium Grade     Item Code    Size  94095    5""  94096    6""  94097    8""..",0.001492537,HI-TECH LAB PRODUCTS,5/6/2023,5/6/2027,50,34.9,1745
Gastroenterology Instruments,Rectal Speculum,Alan-Parks Rectal Speculum,5099,Alan-Parks Rectal Speculum,0.000497512,Inor Medical Products Ltd,7/3/2024,7/3/2028,25,509.9,12747.5
Surgery,Forceps,Bonney Plain Forceps,269,"Item Code    Size  94370    6""  94371    7""  94372    8""..",0.001492537,Dr. Lal PathLabs Limited,14/02/2025,14/02/2029,33,26.9,887.7
Surgery,Scissors,Mayo Scissors (Curved) Bladed Blunt/Blunt,399,"To cut and dissect tissue.To cut sutures, clothing, bandages.More control and precision. Reduction o..",0.001492537,Dolphin Surgical,11/9/2023,11/9/2027,36,39.9,1436.4
Rubber Products,Breast Pump,"Rubber Bulbs for Breast Pump Superior, 25ml (Pack of 15 Pcs.)",1617.78,"Item Code              Size                   35007              Breast pump, complete (glass barrel..",0.000497512,Abbott,17/03/2023,17/03/2027,39,161.778,6309.342
Surgery,Retractor,Volkmann Retractor (Sharp),350,General Overview: The Volkmann Retractor (Sharp) is a precise surgical tool designed for retraction ..,0.001492537,HI-TECH LAB PRODUCTS,7/3/2025,7/3/2029,6,35,210
Ortho Aid,Knee Calf & Ankle Splints,Ankle Support,479.85,Size :        Universal        Specifications :        Two sets of moulded  plastics padded wi..,0.000497512,SISCO ,13/08/2024,13/08/2028,35,47.985,1679.475
Surgery,Scissors,Suture Cutting Scissors,389,Suture Cutting Scissors..,0.002985075,Johnson & Johnson,8/6/2023,8/6/2027,51,38.9,1983.9
OPT Equipments,OT Lights,O.T. Light LED Ceiling Twin Model,237209.5,"Operating voltage: 180 to 270 V/AC 50HzÂ Power supply: 850V/DCÂ Dome: 22"" Dia. EachÂ Lig..",0.000497512,Siemens Healthineers,11/11/2024,11/11/2028,28,23720.95,664186.6
OB/GYN Instruments,Vacuum Extractor Sets - Electric,Vacuum Extractor Electric with Two Silicone Cups,19999,Delivery Aid for Obstetricians : Safe for Mother/BabyHousing :Â  ABS Plastic MouldedMax. Vacuum ..,0.000497512,Stryker,20/07/2022,20/07/2026,25,1999.9,49997.5
Surgery,Instrument Kit,Microsurgery Glaucoma Set,11999,Microsurgery Glaucoma SetPack of 25 Pcs.High quality of surgical instrument kitCarry bag includedS. ..,0.001492537,Lotus Surgicals,13/07/2023,13/07/2027,46,1199.9,55195.4
Anesthesia Equipment,Laryngoscope,IndoSurgicals Fiber Optic Anterior Commissure Laryngoscope Rigid,2999,Anterior Commissure Laryngoscope: Our anterior commissure laryngoscope is specifically designed for ..,0.00199005,Siemens Healthineers,3/4/2022,3/4/2025,8,299.9,2399.2
Surgery,Forceps,Adson Dressing Forceps Plain,199,"Item Code    Size  94338    4""  94339    5""  94340    6""  94341    7""  94342    8""..",0.001492537,B. Braun,12/2/2023,12/2/2027,25,19.9,497.5
Rubber Products,Enema Products,Rubber Enema Bag 4 Liter,589,High Quality - Superior 4 liter Rubber Latex Enema/Douche Bag with Superior Tubing and Smooth Nozzle..,0.000497512,Inor Medical Products Ltd,11/9/2022,11/9/2026,13,58.9,765.7
Surgery,Instrument Kit,Advanced Lab Dissection Kit for Biology Anatomy Medical Students,849,Advanced Lab Dissection Kit for Biology Anatomy Medical Students 22 Pieces..,0.001492537,HI-TECH LAB PRODUCTS,14/02/2024,14/02/2028,37,84.9,3141.3
Hollowware,Thermometer & Forceps Jar,Thermometer Jar (Stainless Steel),400.96,"Inner Length & Width: (4"" x 1.9"")Overall Length: 5""Base Width: 4""Made from high quality stainles..",0.000497512,Delux Surgical,5/6/2024,5/6/2028,20,40.096,801.92
Lab Equipment,Laboratory Water Bath,Serological Water Bath Thermostatic Controlled With Thermostat and Stirrer 31 Ltrs.,16278.08,"Double walled, inside  made of stainless steel 304 grade and outside mild sheet painted with  attrac..",0.000497512,Bauch & Lomb,5/7/2024,5/7/2028,42,1627.808,68367.936
Lab Plasticware,Lab Bottles,Heavy Duty Vacuum Bottle (2000 ml),664.34,"This autoclavable bottle, made of polypropylene, has thick walls, is rugged & can be used for re..",0.000497512,AJMERA BIO-MEDICAL ENGINEERS,5/11/2024,5/11/2028,17,66.434,1129.378
Neurology Instruments,Retractor,"Jansen Retractor 3 x 3 Blunt Prongs, 3""",2899,"Jansen Retractor 3 x 3 Blunt Prongs, 3""Composition: StainlessFinish: SatinItem Type: RetractorsUsage..",0.000497512,AJMERA BIO-MEDICAL ENGINEERS,21/10/2022,21/10/2026,41,289.9,11885.9
Surgery,Suction Units Manual,Foot Suction Unit - Plastic,8008,"Housing: Plastic MouldedCapacity: -600 mm Hg Â± 10 , 200 ml / StrokePump Type: Piston PumpJars: 1 x 1..",0.001492537,Olympus,13/07/2022,13/07/2026,49,800.8,39239.2
Linen,Patient Dress,Patient Dress,749,"Top: Side front tie closure, short sleevesPants: Elastic waistband with drawstringMaterial: Poly-cot..",0.000497512,GE Healthcare,13/02/2024,13/02/2028,29,74.9,2172.1
Sterilizers,Electric Autoclave,"Autoclave (39 litres) Electric, Pressure Cooker Type, Mirror Finish",12299,"Mirror Finish, Electric, 220V. 50Hz. Single PhaseApprox. Size (Dia. X H): 300mm X 400mm + 150mm Lid...",0.000995025,Stryker,19/03/2024,19/03/2027,4,1229.9,4919.6
Ortho Instruments,Twister,Tungsten Carbide (TC) Wire Twister,2296,"Tungsten Carbide (TC) Wire TwisterSKUSize366006""366018""..",0.000497512,Delux Surgical,26/06/2022,26/06/2026,30,229.6,6888
Hollowware,General Quality,"Dressing Drum 14"" x 9"" - General Quality",1599,"Dressing Drum, domed top and bottom with sliding removable band and drop down-hasps            Stain..",0.000497512,HI-TECH LAB PRODUCTS,12/9/2023,12/9/2027,25,159.9,3997.5
Hollowware,Thermometer & Forceps Jar,Thermometer Jar (Stainless Steel),400.96,"Inner Length & Width: (4"" x 1.9"")Overall Length: 5""Base Width: 4""Made from high quality stainles..",0.000497512,GPC Medical,16/07/2024,16/07/2028,6,40.096,240.576
Surgery,Scissors,"Tungsten Carbide (TC) Metzenbaum Scissor, Straight",1899,"Tungsten Carbide (TC) Metzenbaum Scissor, StraightSKUSize941106""941117""941128""..",0.001492537,Cook India,21/07/2024,21/07/2028,16,189.9,3038.4
OB/GYN Instruments,OB/GYN,Tischler Morgan Biopsy Punch Forceps,4899,Tischler Morgan Biopsy Punch Forceps..,0.000497512,Stryker,8/12/2024,8/12/2028,30,489.9,14697
Anesthesia Equipment,Oxygen Cylinder & Regulators,Oxygen Regulator with Pressure Gauge,849,Oxygen Regulator with Pressure Gauge..,0.00199005,ACCURATE MACHINES,19/07/2023,19/07/2026,24,84.9,2037.6
Sterilizers,Autoclave Accessories,Autoclave Heating Element,649,Autoclave Heating ElementÂ NOTE : THESE HEATING ELEMENTS ARE COMPATIBLE WITH OUR AUTOCLAVES ONLY..,0.000995025,Vishal Surgitech,15/10/2022,15/10/2025,22,64.9,1427.8
Surgery,Scalpel,B.P. Handle (Scalpel Handle) No. 7,168,"B.P. Handle (Scalpel Handle) No. 7, stainless steel",0.001492537,Opto Circuits India Limited,20/04/2022,20/04/2026,35,16.8,588
Ortho Instruments,Plier,Orthopedic Wire Tightening Plier,1149,Orthopedic Wire Tightening Plier..,0.000497512,Abbott,19/02/2025,19/02/2029,33,114.9,3791.7
Surgery,Instrument Kit,Dressing Instrument Kit,2464,You can also buy this product from our Amazon store.Buy Now    Dressing Instruments Set Co..,0.001492537,Stryker,16/09/2023,16/09/2027,21,246.4,5174.4
Surgery,Forceps,Backhaus Towel Forceps,409,"Forgings from stainless steelSilk matte satin finishTo attach towels, to handle sponges and other ma..",0.001492537,Trivitron Healthcare Private Limited,21/05/2022,21/05/2026,31,40.9,1267.9
Surgery,Forceps,Mayo-Hegar Needle Holding Forceps,336,"Made of surgical grade stainless steel.For holding suture needles whilst stitching ; for general, va..",0.001492537,Thyrocare Technologies Limited,16/08/2023,16/08/2027,21,33.6,705.6
Surgery,Retractor,Retractor Casper & Cloward with 10 Blade,15989,Stainless SteelReusablePremium Grade..,0.001492537,Karl Storz,4/9/2022,4/9/2026,40,1598.9,63956
Ortho Aid,Wrist & Elbow Splints,Frog Splint,198.45,"Size :        Small, Medium, Large        Specifications :        Foam padded aluminium  splint in u..",0.000497512,Bauch & Lomb,5/8/2024,5/8/2028,38,19.845,754.11
Ortho Aid,Stockinette,Orthopaedic Stockinette,676.2,"Made up of finest,  soft, non-absorbent tubular rib weaved cotton                      Available in ..",0.000497512,Terumo,6/4/2023,6/4/2027,25,67.62,1690.5
Anesthesia Equipment,Laryngoscope,LED Laryngoscope Set Miller (1 Year Warranty),2072,"LED laryngoscope set, pediatric, miller typeHandle & Blades are made of stainless steel 304 grad..",0.00199005,Stryker,24/11/2024,24/11/2027,21,207.2,4351.2
ENT Instruments,Instrument Set,Stapedectomy Instruments (Set of 9),2599,Stainless SteelReusablePremium Grade..,0.000497512,Apollo Hospitals Enterprise Limited,21/05/2023,21/05/2027,19,259.9,4938.1
Hollowware,Deluxe Quality,"IndoSurgicals Instrument Tray 12x10"" (Deluxe Quality)",749,Stainless steelWith cover                     Item Code             Size (approx.)             Qu..,0.000497512,Girish Surgical Works,13/01/2023,13/01/2027,22,74.9,1647.8
Linen,Hospital Uniform,"IndoSurgicals Scrub Suit for Doctors, Unisex, Poly Cotton (Maroon)",699,Return/Replacement will not allow after Embroidery.Fit Type: Regular FitV-neck tunic styling. Side v..,0.000497512,Romsons,14/11/2024,14/11/2028,42,69.9,2935.8
Furniture,Stretchers,Patient Stretcher Trolley,9794,Overall size approx. 213 L x 56 W x 81 H cms.Â M.S. tubular construction with MS removable stret..,0.000497512,Hindustan Syringes,26/08/2023,26/08/2027,2,979.4,1958.8
Surgery,Scissors,Umbilical Cord Cutting Scissors,459,Umbilical Cord Cutting Scissors..,0.001492537,Dolphin Surgical,11/12/2023,11/12/2027,32,45.9,1468.8
Surgery,Forceps,Crile Artery Forceps (Curved),359,"Stainless SteelReusablePremium GradeSKUSize933456""933478""..",0.001492537,CDR MEDICAL INDUSTRIES,30/12/2023,30/12/2027,40,35.9,1436
Lab Equipment,Medium Centrifuge,"Medium Centrifuge Without Timer, 6 x 15ml",10443,Item Code                  30204Â  View Price                  30205 Â  View Price    ..,0.000497512,Max Healthcare Institute Limited,1/10/2022,1/10/2026,9,1044.3,9398.7
Ortho Aid,Walking Sticks,Walking Stick (Aluminium) Adjustable,479.85,"Aluminium shaft is strong, yet lightweight for carrying and easily wiped clean.Simple push button al..",0.000497512,Girish Surgical Works,12/11/2022,12/11/2026,47,47.985,2255.295
Surgery,Forceps,"Intestinal Clamp Forceps 10"" Straight",728,"Intestinal Clamp Forceps 10"" Straight..",0.001492537,GE Healthcare,30/03/2023,30/03/2027,27,72.8,1965.6
Sterilizers,Instrument Sterilizer,"Instrument Sterilizer (Electric) SS 304 Grade (Size 17"" x 8"" x 6"")",9199,Approx. Size (L X B X H):Â 430x200x150 (17x8x6â€) â€“ 1.5 KW LoadMade of seamless stainless steel. ..,0.000995025,Gesco Healthcare,20/05/2022,20/05/2025,27,919.9,24837.3
Anesthesia Equipment,Oxygen Mask,Oxygen Mask for Child,199,Tube Length 210 cm.Oxygen Mask is used for convenient oxygen administration. Manufactured from soft ..,0.00199005,Arena Medical Care,16/08/2024,16/08/2027,3,19.9,59.7
Surgery,Instrument Kit,Gynecology Instruments Set,1792,Gynecology instrument Set Containing Following Items:-    S.No.Name of Items    Qty.  ..,0.001492537,Dr. Lal PathLabs Limited,17/07/2022,17/07/2026,6,179.2,1075.2
Surgery,Scissors,Stevens Tenotomy Scissors (Straight),469,"Stevens Tenotomy Scissors (Straight)SKUSize941456""941467""..",0.001492537,Reckitt Benckiser,26/03/2024,26/03/2028,43,46.9,2016.7
General,Height & Weight Scales,Height Measuring Scale with Digital Weighing Scale,2832,"Height Measuring Scale, floor model With DIGITAL weighing scale Measuring range : 20 - 205cm with ..",0.00199005,Tynor Orthotics,15/10/2024,15/10/2027,41,283.2,11611.2
Surgery,Scalpel,B.P. Handle (Scalpel Handle) No. 9,224,"B.P. Handle (Scalpel Handle) No. 9, stainless steel",0.001492537,Integra,27/10/2022,27/10/2026,18,22.4,403.2
Lab Equipment,Laboratory Microscope,Trinocular Microscope,49955.36,"Advanced Microscope for analytical and research  work in Colleges, Laboratories, Hospital and Resear..",0.000497512,Fortis Healthcare Limited,13/05/2024,13/05/2028,24,4995.536,119892.864
Hollowware,General Quality,"IndoSurgicals Instrument Tray 15x12"" (General Quality)",849,Material: Crafted from high-quality stainless steel for durability and ease of sterilizationDesign: ..,0.000497512,CDR MEDICAL INDUSTRIES,14/08/2023,14/08/2027,17,84.9,1443.3
Lab Plasticware,General Labware,Leclanche Cell Pot (Pack of 12 Pcs.),1305.08,"Blown in polypropylene, this pot is used for making leclanche Cell. This pot too has very good conta..",0.000497512,HI-TECH LAB PRODUCTS,10/1/2025,10/1/2029,10,130.508,1305.08
ENT Instruments,Mirror,Post Nasal Mirror,139,Post Nasal Mirror..,0.000497512,GPC Medical,25/01/2025,25/01/2029,30,13.9,417
Surgery,Scissors,"Trauma Shears 7.5""",199,"Enhanced serrated (toothed) lower edge cuts through tough materials
			Clothing-lift lip and rounde..",0.001492537,Opto Circuits India Limited,26/06/2024,26/06/2028,46,19.9,915.4
Radiology Aid,Lead Goggles,X Ray Lead Goggles,3299.52,Front protectionLight weightUsed by x-ray technicians for eye protection against radiationRadiation ..,0.000497512,Reckitt Benckiser,28/11/2023,28/11/2027,41,329.952,13528.032
Gastroenterology Instruments,Rectal Speculum,Mathieu Rectal Speculum,2749,Mathieu Rectal Speculum 2 Prongs,0.000497512,Thyrocare Technologies Limited,5/5/2024,5/5/2028,5,274.9,1374.5
Misc Products,Destroyer,Needle & Syringe Destroyer (Electric cum Manual),1149,"Needle Syringe Destroyer with 3 in 1 operation in single body i.e. burning of needle, cutting of syr..",0.000497512,Medtronic,3/7/2024,3/7/2028,13,114.9,1493.7
Anesthesia Equipment,Oxygen Cylinder & Regulators,Emergency Oxygen Cylinder Kit,8260,Emergency Use.It is Handy and Portable.At the time of shifting patient to the Hospital and Home Use...,0.00199005,AJMERA BIO-MEDICAL ENGINEERS,8/7/2022,8/7/2025,9,826,7434
Lab Plasticware,Measuring Jugs,Measuring Jugs,659.62,"These handy jugs, moulded in polypropylene, are clear, autoclavable and have good chemical resistanc..",0.000497512,Trivitron Healthcare Private Limited,22/11/2022,22/11/2026,44,65.962,2902.328
Furniture,Stretchers,Emergency & Recovery Trolley,46831.84,Two sectional radiolucent topÂ Height adjusted by foot operated hydraulic pump from 660 mm to 86..,0.000497512,Reckitt Benckiser,26/08/2023,26/08/2027,9,4683.184,42148.656
Lab Plasticware,Lab Bottles,Aspirator Bottles,991.2,IndoSurgicals Aspirator Bottles are made of polypropylene and are therefore much lighter than glass...,0.000497512,Baxter,20/01/2023,20/01/2027,28,99.12,2775.36
Neurology Instruments,Scissors,Yasargil Micro Bayonet Scissors,3759,"Premium Stainless Steel â€“ Corrosion-resistant, durable, and fully autoclavable for repeated surgical..",0.000497512,Poly Medicure,4/2/2024,4/2/2028,39,375.9,14660.1
Surgery,Forceps,Kogan Endocervical Speculum,4799,Stainless SteelReusablePremium Grade..,0.001492537,Dolphin Surgical,27/10/2023,27/10/2027,30,479.9,14397
Linen,Hospital Uniform,Disposable Scrub Suit (Non Woven Fabric),207.9,DisposableMade from Non Woven material..,0.000497512,Siemens Healthineers,8/9/2023,8/9/2027,38,20.79,790.02
Surgery,Scissors,Vannas Spring Scissors,659,"Manufactured from German stainless steel.Product Conforms to ISO, CE-Quality Mark and other Quality ..",0.001492537,Apollo Hospitals Enterprise Limited,9/4/2022,9/4/2026,10,65.9,659
Dinsinfectant & Cleaning,Fogger,ULV Micro Fogger Machine,13995,"Micro Fogger provides excellent control of droplet size, even for near-invisible 0.5-15 micron dropl..",0.000497512,Narang,13/07/2023,13/07/2027,38,1399.5,53181
Sterilizers,Electric Autoclave,"Autoclave (21 litres) Electric, Pressure Cooker Type, Epoxy Finish",7099,"Epoxy Finish, Electric, 220V. 50Hz. Single PhaseApprox. Size (Dia. X H): 300mm X 260mm + 50mm Lid. (..",0.000995025,Girish Surgical Works,4/12/2023,4/12/2026,3,709.9,2129.7
Opthalmology Instruments,Vectis,Lewis Lens Loop Vectis,289,Stainless SteelReusablePremium Grade..,0.000497512,SISCO ,12/7/2024,12/7/2028,24,28.9,693.6
Anesthesia Equipment,Laryngoscope,Laryngoscope Blade (Macintosh),392,Stainless steel blades with removable LED lampBlades are made of stainless steel 304 gradeMatt finis..,0.00199005,ACCURATE MACHINES,15/04/2022,15/04/2025,1,39.2,39.2
Sterilizers,Autoclave Accessories,Autoclave Rubber Gasket,354,Autoclave Rubber GasketNOTE : THESE GASKETS ARE COMPATIBLE WITH OUR AUTOCLAVES ONLY Item Code Ga..,0.000995025,M/S IMADE TECHNOLOGY PRIVATE LIMITED,9/7/2022,9/7/2025,41,35.4,1451.4
Cardiothoracic Instrument,Retractor,IMA Retractor,15899,Stainless SteelReusablePremium Grade..,0.001492537,Dolphin Surgical,2/2/2025,2/2/2029,18,1589.9,28618.2
Laparoscopic Instrument,Cables,Monopolar Cable,1449,"Key Features:âœ” High-Quality Construction: Made from durable, medical-grade materials for long-lastin..",0.000497512,Baxter,12/12/2023,12/12/2027,17,144.9,2463.3
General,Height & Weight Scales,MUAC Tape for Child & Adult - Deluxe Quality,21,This measuring tapes are used to measure the mid upper arm circumference (MUAC) of Adults and Childr..,0.00199005,Hindustan Syringes,2/11/2024,2/11/2027,18,2.1,37.8
Surgery,Scissors,Spencer (Littauer) Stitch Scissors,299,Made of Stainless SteelSize : 11cm..,0.001492537,Romsons,5/5/2023,5/5/2027,47,29.9,1405.3
ENT Instruments,Laryngoscope,Laryngoscope LED Bulb/Lamp,40,Laryngoscope LED Bulb/Lamp..,0.000497512,Johnson & Johnson,15/01/2025,15/01/2029,26,4,104
Lab Equipment,Medium Centrifuge,"Medium Centrifuge Without Timer, 12 x 5ml",13304.5,Item Code                  30206Â  View Price                  30207 Â  View Price    ..,0.000497512,Rama Surgical House,19/05/2024,19/05/2028,40,1330.45,53218
Lab Plasticware,Funnels,Funnels Long Stem,1091.5,"These Long Stem funnels have smooth walls, 60Âº cone angle and external ribs to prevent air lock. Mou..",0.000497512,Lotus Surgicals,12/2/2024,12/2/2028,1,109.15,109.15
Surgery,Instrument Kit,EYE Instrument Kit,5499,You can also buy this product from our Amazon store.Buy Now    EYE Instrument Kit Contains..,0.001492537,Thyrocare Technologies Limited,14/12/2023,14/12/2027,4,549.9,2199.6
Surgery,Forceps,Bozeman Needle Holder,359,"Item Code    Size  931706""  93171    8""  93172    10""..",0.001492537,Karl Storz,3/10/2023,3/10/2027,42,35.9,1507.8
Lab Equipment,Laboratory Microscope,Stereoscopic Microscope,23620.8,"The significant  advantage of Stereoscopic Microscope is that by using two optical systems, an  erec..",0.000497512,Thyrocare Technologies Limited,3/3/2025,3/3/2029,24,2362.08,56689.92
Surgery,Suction Units Manual,Foot Suction Unit - Plastic,8008,"Housing: Plastic MouldedCapacity: -600 mm Hg Â± 10 , 200 ml / StrokePump Type: Piston PumpJars: 1 x 1..",0.001492537,Intersurgical,5/6/2022,5/6/2026,8,800.8,6406.4
Sterilizers,Sterilization Cassette,Instrument Sterilization Cassette,896,Sterilization Cassette for InstrumentsAvailable in two different sizes with a capacity of 6 and 10 i..,0.000995025,Ambu,13/10/2023,13/10/2026,49,89.6,4390.4
Surgery,Forceps,Right Angle Artery Forceps,399,"SKUSize932465""932476""932488""932509""9325110""..",0.001492537,Palakkad Surgical,24/06/2024,24/06/2028,42,39.9,1675.8
Surgery,Forceps,Littlewood Tissue Forceps,479,Littlewood Tissue Forceps..,0.001492537,Bauch & Lomb,27/11/2024,27/11/2028,29,47.9,1389.1
Surgery,Retractor,Deaver Retractor,250,"Item Code    Size    97006    1""    97007    1.5""      97008  2""  97009  2.5""  97010  3""..",0.001492537,Ben Franklin Opticians,26/10/2024,26/10/2028,26,25,650
ENT Instruments,Tube,Jackson Tracheostomy Tube,379,"Jackson Tracheostomy TubeSize: 28, 30 & 32SKUSize946532894654309465532..",0.000497512,Terumo,24/01/2024,24/01/2028,28,37.9,1061.2
Ortho Instruments,Osteotome,Orthopedic Osteotome (Straight) Stainless Steel,616,Orthopedic Stainless Steel OsteotomeItem CodeSize363115 mm367106 mm367128 mm3631210 mm3671413 mm3631..,0.000497512,Palakkad Surgical,21/11/2024,21/11/2028,10,61.6,616
Surgery,Forceps,McIndoe Forceps Toothed,279,"Item Code    Size  94323    6""  94324    8""..",0.001492537,GPC Medical,14/04/2023,14/04/2027,6,27.9,167.4
Laparoscopic Instrument,Dissectors,Maryland Dissector 5mm,2049,SKUType93451Short93452Medium93453Long..,0.000497512,HI-TECH LAB PRODUCTS,9/2/2023,9/2/2027,13,204.9,2663.7
Hollowware,General Quality,"IndoSurgicals Instrument Tray 10x8"" (General Quality)",499,Material: Crafted from high-quality stainless steel for durability and ease of sterilizationDesign: ..,0.000497512,Intersurgical,12/5/2023,12/5/2027,14,49.9,698.6
Surgery,Instrument Kit,ICD Set,3808,ICD InstrumentsÂ Set Containing Following Items:-    S.No.Name of Items    Qty.   ..,0.001492537,Apollo Hospitals Enterprise Limited,2/6/2024,2/6/2028,5,380.8,1904
Anesthesia Equipment,Laryngoscope,McCoy Type Flexi Blade,1652,Stainless Steel blades with removable LED lamp (Without Handle)Blades are made of stainless steel 30..,0.00199005,Narang,4/8/2024,4/8/2027,1,165.2,165.2
Anesthesia Equipment,Oxygen Cylinder & Regulators,Oxygen Cylinder 10.2 Ltrs.,8437,"Empty Oxygen Cylinder, Water capacity 10.2 Litre.Supplied with F A Valve with Flowmeter and Pressure..",0.00199005,Inor Medical Products Ltd,2/11/2022,2/11/2025,40,843.7,33748
Cardiothoracic Instrument,Retractor,IMA Retractor,15899,Stainless SteelReusablePremium Grade..,0.001492537,Baxter,26/10/2024,26/10/2028,30,1589.9,47697
Radiology Aid,Radiation Protection Head Shield,X-Ray Lead Cap (BARC Approved) - Lead Vinyl Core,840,The Lead Cap is a radiation protection accessoryÂ designed to protect the head against exposure ..,0.000497512,3M India,30/10/2022,30/10/2026,27,84,2268
Radiology,Needle,Coaxial biopsy needle,2567,"Disposable, Clinical, Plastic",0.000497512,Girish Surgical Works,21/03/2025,21/03/2029,26,256.7,6674.2
Lab Equipment,Hot Air Sterilizers,"Hot Air Sterilizer, Double Wall, Universal Type, Upto 250ÂºC 216 Ltrs Aluminium Chambers",42400.96,Upto  250ÂºC (Laboratory Electric Oven Universal Type)                Temperature  Thermostatically..,0.000497512,Abbott,11/8/2023,11/8/2027,10,4240.096,42400.96
Surgery,Scissors,Spencer (Littauer) Stitch Scissors,299,Made of Stainless SteelSize : 11cm..,0.001492537,Vishal Surgitech,23/08/2022,23/08/2026,45,29.9,1345.5
Lab Equipment,Hot Air Sterilizers,"Hot Air Sterilizer, Double Wall, Universal Type, Upto 250ÂºC 122 Ltrs SS Chambers",40691.84,Upto  250ÂºC (Laboratory Electric Oven Universal Type)                Temperature  Thermostatically..,0.000497512,HI-TECH LAB PRODUCTS,28/10/2023,28/10/2027,13,4069.184,52899.392
Neurology Instruments,Hammer,IndoSurgicals Taylor Neurological Reflex Hammer,159,"Utilizing the original design of Dr. John Madison Taylor, IndoSurgicals has developed the IndoSurgic..",0.000497512,Thyrocare Technologies Limited,3/10/2024,3/10/2028,8,15.9,127.2
ENT Instruments,Syringe,"Ear Syringe, Brass Metal",1064,Ear Syringe Brass Metal..,0.000497512,Hindustan Surgical,2/6/2022,2/6/2026,18,106.4,1915.2
Surgery,Retractor,Adson-Beckman Retractor Folding,3699,"Stainless SteelReusablePremium GradeSKUSize933608""9336110""9336212""..",0.001492537,ACCURATE MACHINES,6/8/2024,6/8/2028,19,369.9,7028.1
Opthalmology Instruments,Forceps,Hoskin Forceps,579,Stainless SteelReusablePremium Grade..,0.000497512,Rama Surgical House,25/06/2022,25/06/2026,16,57.9,926.4
Sterilizers,Electric Autoclave,"Autoclave (24 litres) Electric, Pressure Cooker Type, Mirror Finish",7599,"Mirror Finish, Electric, 220V. 50Hz. Single PhaseApprox. Size (Dia. X H): 300mm X 300mm + 50mm Lid. ..",0.000995025,Boston Scientific,2/9/2023,2/9/2026,50,759.9,37995
Surgery,Retractor,US Army Retractor (Set of 2),425,US Army Retractor (Set of 2)..,0.001492537,SISCO ,3/1/2025,3/1/2029,38,42.5,1615
Ortho Instruments,Elevator,Periosteal Elevator (Curved),739.2,OrthopedicÂ Periosteal Elevator (Curved)Item CodeSize364006 mm364018 mm3640210 mm3640312 mm36404..,0.000497512,Thyrocare Technologies Limited,16/05/2022,16/05/2026,1,73.92,73.92
General,Cylinder,Humidifier Bottle 200ml Autoclavable Plastic,704.46,Humidifier Bottle 200ml Autoclavable Plastic..,0.00199005,Medtronic,14/12/2023,14/12/2026,11,70.446,774.906
Radiology Aid,Lead Apron Racks,Lead Apron Hanger,224,..,0.000497512,Tynor Orthotics,17/10/2022,17/10/2026,9,22.4,201.6
OB/GYN Instruments,Vaginal Speculum Cusco / Duck Bill (Sims),Vaginal Speculum - Cusco,199,"Size: Small, Medium & LargeMaterial: Stainless Steel  Item Code    Size    55013    Small    550..",0.000497512,Arena Medical Care,22/09/2024,22/09/2028,24,19.9,477.6
General,Stethoscope,IndoSurgicals Silvery III Stethoscope,1599,Double sided technology diaphragm retaining rims for patient comfort.Ultra-sensitive diaphragm for g..,0.00199005,Trivitron Healthcare Private Limited,3/9/2024,3/9/2027,10,159.9,1599
